,p,r,,,,,,,,
0.4,0.946582423894314,0.244800950683304,0.910005920663114,0.228312537136067,0.886384544618215,0.286244800950683,0.89143135345667,0.271984551396316,0.919770773638968,0.286096256684492
0.41,0.942461374533831,0.262774806892454,0.90450054884742,0.244800950683304,0.884286934244236,0.307635175282234,0.887089518668466,0.292929292929293,0.915925266903915,0.305852644087938
0.42,0.938210578348987,0.281937017231135,0.894657258064516,0.263666072489602,0.880543347982421,0.32739156268568,0.88024948024948,0.314468211527035,0.910981697171381,0.325311942959002
0.43,0.933545744196632,0.304664289958408,0.887807139545665,0.284462269756387,0.8766209707299,0.351455733808675,0.873692367299496,0.334967320261438,0.908023483365949,0.344622697563874
0.44,0.927517909818795,0.326945929887106,0.884929154143409,0.306149732620321,0.873356401384083,0.374925727866904,0.869269340974212,0.360516934046346,0.90443061149762,0.366904337492573
0.45,0.919670846394984,0.34863339275104,0.882258710452543,0.327243018419489,0.867205169628433,0.398692810457516,0.861941551897884,0.38116458704694,0.901204819277108,0.388888888888889
0.46,0.909782608695652,0.372994652406417,0.869244935543278,0.350564468211527,0.858255918489661,0.425430778371955,0.852803006576887,0.404486036838978,0.892233009708738,0.409536541889483
0.47,0.903565365025467,0.395276292335116,0.861235761132206,0.370617944147356,0.850154624683722,0.449197860962567,0.844979448032883,0.427510398098633,0.886349786715417,0.432115270350564
0.48,0.896256345177665,0.419637551990493,0.854334514985498,0.393790849673203,0.841898269533298,0.476975638740345,0.837770382695508,0.448752228163993,0.8762233736327,0.452168746286393
0.49,0.884443117348462,0.439988116458705,0.846409173204587,0.416666666666667,0.831527093596059,0.501485442661913,0.831976896823313,0.470736779560309,0.86735246345425,0.475935828877005
0.5,0.877705931965139,0.463755199049317,0.836189940994661,0.442067736185383,0.820857473928158,0.526143790849673,0.823152709359606,0.496434937611408,0.861428934655479,0.503267973856209
0.51,0.866189719130896,0.485591206179442,0.831034482758621,0.465389185977421,0.810363596777705,0.552881758764112,0.81858407079646,0.522133095662507,0.851958663782744,0.526589423648247
0.52,0.858352003983072,0.512180629827689,0.822016974538193,0.489156268568033,0.800702915029977,0.575311942959002,0.81037527593819,0.545306001188354,0.839111715386358,0.550059417706476
0.53,0.849576271186441,0.536096256684492,0.814491385414208,0.512626262626263,0.797294648108214,0.604129530600119,0.79921096345515,0.57174688057041,0.829982891360137,0.576500297088532
0.54,0.843806104129264,0.558526440879382,0.807957323849744,0.539958407605466,0.788787483702738,0.629084967320261,0.792207792207792,0.598039215686274,0.823252962811606,0.598484848484848
0.55,0.833509402070568,0.586007130124777,0.797604035308953,0.563725490196078,0.779059449866903,0.652109328579917,0.780811670095381,0.620172311348782,0.814447040498442,0.621360665478313
0.56,0.820466786355476,0.61096256684492,0.793302770580028,0.591206179441474,0.771722625274169,0.679441473559121,0.770367763505191,0.650326797385621,0.80766369047619,0.644979203802733
0.57,0.809856495468278,0.637106357694593,0.786349026280961,0.617795603089721,0.763674388674389,0.70513963161022,0.763648580547623,0.675282234105764,0.798470295268588,0.666815210932858
0.58,0.800972622478386,0.660576351752822,0.780158444364422,0.643642305407011,0.756615384615385,0.730540701128936,0.753909990424513,0.701723113487819,0.786779661016949,0.689542483660131
0.59,0.791573899640349,0.686571598336304,0.774088093599449,0.668300653594771,0.748054617530465,0.756833036244801,0.746556473829201,0.724598930481283,0.775165082944113,0.714943553178847
0.6,0.781934008493956,0.711081402257873,0.7703081232493,0.694444444444444,0.74004252303331,0.775549613784908,0.740326614682948,0.747474747474748,0.765005400401173,0.736482471776589
0.61,0.77557084766969,0.736631016042781,0.762966476913346,0.716726084373143,0.732751568039269,0.798276886512181,0.730465444287729,0.769310754604872,0.756302521008403,0.762032085561497
0.62,0.768252543387193,0.762774806892454,0.756034219370608,0.735145573380868,0.72668513388735,0.81833036244801,0.72027027027027,0.791740938799762,0.750356226845255,0.782234105763517
0.63,0.757302405498282,0.785650623885918,0.751143911439114,0.755941770647653,0.718969256282689,0.837195484254308,0.711635750421585,0.814913844325609,0.74213922833997,0.802881758764112
0.64,0.746366876885111,0.808674985145573,0.744512108766464,0.780897207367796,0.711221326720397,0.85204991087344,0.704844160720991,0.836452762923351,0.734507415254237,0.82397504456328
0.65,0.73513084853291,0.82620320855615,0.734777278299959,0.801247771836007,0.70327691753691,0.870320855614973,0.697973546899648,0.854426619132502,0.729348383786557,0.844622697563874
0.66,0.727736667517224,0.847296494355318,0.72715318869165,0.821449792038027,0.69588530131717,0.88680926916221,0.690947666195191,0.870766488413547,0.719672537831803,0.861853832442068
0.67,0.719438631047643,0.868092691622103,0.72047394572557,0.840017825311943,0.686891555354313,0.90136660724896,0.685060103033772,0.888888888888889,0.712671315220005,0.880570409982175
0.68,0.712398857686816,0.889334521687463,0.714127218934911,0.860516934046346,0.681039248203427,0.915032679738562,0.679230511128509,0.902109328579917,0.706404862085086,0.897801544860368
0.69,0.706025774991292,0.903297682709447,0.707811568276685,0.881610219845514,0.676470588235294,0.929292929292929,0.672888015717092,0.915775401069519,0.699931569343066,0.911616161616161
0.7,0.698315813270035,0.917706476530006,0.700347222222222,0.898841354723708,0.670875331564987,0.939245395127748,0.668306770777623,0.928104575163399,0.692470248025804,0.924836601307189
0.71,0.690164114990638,0.930778371954843,0.692065632726455,0.914735591206179,0.665486357008956,0.949197860962567,0.662295425933697,0.937759952465835,0.684342062370966,0.935531788472965
0.72,0.682614772605096,0.943107546048722,0.684718263538698,0.927807486631016,0.660083904635219,0.958259061200238,0.655555555555556,0.946524064171123,0.675326052380447,0.946078431372549
0.73,0.674778761061947,0.951426024955437,0.678648068669528,0.939542483660131,0.654527162977867,0.966428995840761,0.648144413069786,0.954693998811646,0.66874804870434,0.954545454545455
0.74,0.668181348755551,0.961081402257873,0.670852956567242,0.952168746286393,0.649662564509726,0.972370766488413,0.640946909667195,0.961229946524064,0.663294502350296,0.964200831847891
0.75,0.663206106870229,0.967914438502674,0.663177339901478,0.959893048128342,0.643485915492958,0.977272727272727,0.634701419957207,0.969399881164587,0.657574232511324,0.970439691027926
0.76,0.65790002007629,0.973559120617944,0.657411147011309,0.967171717171717,0.638676598626294,0.980689245395128,0.630184331797235,0.975044563279857,0.652126499454744,0.977124183006536
0.77,0.652527254707631,0.978015448603684,0.65066931085771,0.974747474747475,0.634858346094946,0.985294117647059,0.626376756551462,0.979946524064171,0.647104851330203,0.982768865121806
0.78,0.647715040610627,0.98321449792038,0.64366582080812,0.979649435531788,0.630935456354848,0.988859180035651,0.62276743748825,0.984105763517528,0.643292388045265,0.987967914438503
0.79,0.643979057591623,0.986631016042781,0.636346153846154,0.983065953654189,0.626961014560827,0.991384432560903,0.61850679575498,0.986928104575163,0.638330461420639,0.990493166963755
0.8,0.639312793934159,0.989453357100416,0.631984036488027,0.987967914438503,0.622963031939659,0.993761140819964,0.613563070118861,0.989156268568033,0.633462740270808,0.993761140819964
0.81,0.634343242473169,0.99212715389186,0.627942007154961,0.990790255496138,0.618730950401773,0.995098039215686,0.609716007670532,0.991830065359477,0.629650507328072,0.99554367201426
0.82,0.630215691815014,0.993909685086156,0.62337904655285,0.992572786690434,0.613767254776488,0.997326203208556,0.605265538767755,0.993761140819964,0.626306945481703,0.9965834818776
0.83,0.624871818775054,0.995692216280452,0.62024261505695,0.994949494949495,0.60897552130553,0.99777183600713,0.600053792361485,0.994206773618538,0.622047244094488,0.997474747474748
0.84,0.620205194565117,0.996732026143791,0.614419201172591,0.996286393345217,0.603682083520431,0.998514557338087,0.594589800443459,0.995840760546643,0.617633538659557,0.997920380273321
0.85,0.615934720821491,0.997920380273321,0.610070896200691,0.997029114676174,0.598665480427046,0.999554367201426,0.590789010214864,0.9965834818776,0.612036784120914,0.998514557338087
0.86,0.610440308669995,0.998811645870469,0.606314839873703,0.998366013071895,0.593369776053606,0.999702911467617,0.58562330977929,0.997177658942365,0.606585475868291,0.998811645870469
0.87,0.606656444484532,0.999108734402852,0.603084925118823,0.998960190136661,0.587808924984717,0.999851455733809,0.580884894573107,0.998514557338087,0.5998572830256,0.998960190136661
0.88,0.60198604401503,0.999554367201426,0.59884290164664,0.999405822935235,0.581763180639585,0.999851455733809,0.577276237878658,0.999257278669043,0.595132743362832,0.998960190136661
0.89,0.595680651442733,0.999702911467617,0.594819202546194,0.999405822935235,0.574696943827898,1,0.571671339960914,0.999405822935235,0.590243046415723,0.999257278669043
0.9,0.590092064883823,0.999702911467617,0.589885178367955,0.999702911467617,0.568341072182355,1,0.566618971467048,1,0.582467982000692,0.999851455733809
0.4,,,,,,,,,,
0.41,,,,,,,,,,
0.42,,,,,,,,,,
0.43,,,,,,,,,,
0.44,,,,,,,,,,
0.45,,,,,,,,,,
0.46,,,,,,,,,,
0.47,,,,,,,,,,
0.48,,,,,,,,,,
0.49,,,,,,,,,,
0.5,,,,,,,,,,
0.51,,,,,,,,,,
0.52,,,,,,,,,,
0.53,,,,,,,,,,
0.54,,,,,,,,,,
0.55,,,,,,,,,,
0.56,,,,,,,,,,
0.57,,,,,,,,,,
0.58,,,,,,,,,,
0.59,,,,,,,,,,
0.6,,,,,,,,,,
0.61,,,,,,,,,,
0.62,,,,,,,,,,
0.63,,,,,,,,,,
0.64,,,,,,,,,,
0.65,,,,,,,,,,
0.66,,,,,,,,,,
0.67,,,,,,,,,,
0.68,,,,,,,,,,
0.69,,,,,,,,,,
0.7,,,,,,,,,,
0.71,,,,,,,,,,
0.72,,,,,,,,,,
0.73,,,,,,,,,,
0.74,,,,,,,,,,
0.75,,,,,,,,,,
0.76,,,,,,,,,,
0.77,,,,,,,,,,
0.78,,,,,,,,,,
0.79,,,,,,,,,,
0.8,,,,,,,,,,
0.81,,,,,,,,,,
0.82,,,,,,,,,,
0.83,,,,,,,,,,
0.84,,,,,,,,,,
0.85,,,,,,,,,,
0.86,,,,,,,,,,
0.87,,,,,,,,,,
0.88,,,,,,,,,,
0.89,,,,,,,,,,
0.9,,,,,,,,,,
0.4,,,,,,,,,,
0.41,,,,,,,,,,
0.42,,,,,,,,,,
0.43,,,,,,,,,,
0.44,,,,,,,,,,
0.45,,,,,,,,,,
0.46,,,,,,,,,,
0.47,,,,,,,,,,
0.48,,,,,,,,,,
0.49,,,,,,,,,,
0.5,,,,,,,,,,
0.51,,,,,,,,,,
0.52,,,,,,,,,,
0.53,,,,,,,,,,
0.54,,,,,,,,,,
0.55,,,,,,,,,,
0.56,,,,,,,,,,
0.57,,,,,,,,,,
0.58,,,,,,,,,,
0.59,,,,,,,,,,
0.6,,,,,,,,,,
0.61,,,,,,,,,,
0.62,,,,,,,,,,
0.63,,,,,,,,,,
0.64,,,,,,,,,,
0.65,,,,,,,,,,
0.66,,,,,,,,,,
0.67,,,,,,,,,,
0.68,,,,,,,,,,
0.69,,,,,,,,,,
0.7,,,,,,,,,,
0.71,,,,,,,,,,
0.72,,,,,,,,,,
0.73,,,,,,,,,,
0.74,,,,,,,,,,
0.75,,,,,,,,,,
0.76,,,,,,,,,,
0.77,,,,,,,,,,
0.78,,,,,,,,,,
0.79,,,,,,,,,,
0.8,,,,,,,,,,
0.81,,,,,,,,,,
0.82,,,,,,,,,,
0.83,,,,,,,,,,
0.84,,,,,,,,,,
0.85,,,,,,,,,,
0.86,,,,,,,,,,
0.87,,,,,,,,,,
0.88,,,,,,,,,,
0.89,,,,,,,,,,
0.9,,,,,,,,,,
0.4,,,,,,,,,,
0.41,,,,,,,,,,
0.42,,,,,,,,,,
0.43,,,,,,,,,,
0.44,,,,,,,,,,
0.45,,,,,,,,,,
0.46,,,,,,,,,,
0.47,,,,,,,,,,
0.48,,,,,,,,,,
0.49,,,,,,,,,,
0.5,,,,,,,,,,
0.51,,,,,,,,,,
0.52,,,,,,,,,,
0.53,,,,,,,,,,
0.54,,,,,,,,,,
0.55,,,,,,,,,,
0.56,,,,,,,,,,
0.57,,,,,,,,,,
0.58,,,,,,,,,,
0.59,,,,,,,,,,
0.6,,,,,,,,,,
0.61,,,,,,,,,,
0.62,,,,,,,,,,
0.63,,,,,,,,,,
0.64,,,,,,,,,,
0.65,,,,,,,,,,
0.66,,,,,,,,,,
0.67,,,,,,,,,,
0.68,,,,,,,,,,
0.69,,,,,,,,,,
0.7,,,,,,,,,,
0.71,,,,,,,,,,
0.72,,,,,,,,,,
0.73,,,,,,,,,,
0.74,,,,,,,,,,
0.75,,,,,,,,,,
0.76,,,,,,,,,,
0.77,,,,,,,,,,
0.78,,,,,,,,,,
0.79,,,,,,,,,,
0.8,,,,,,,,,,
0.81,,,,,,,,,,
0.82,,,,,,,,,,
0.83,,,,,,,,,,
0.84,,,,,,,,,,
0.85,,,,,,,,,,
0.86,,,,,,,,,,
0.87,,,,,,,,,,
0.88,,,,,,,,,,
0.89,,,,,,,,,,
0.9,,,,,,,,,,
0.4,,,,,,,,,,
0.41,,,,,,,,,,
0.42,,,,,,,,,,
0.43,,,,,,,,,,
0.44,,,,,,,,,,
0.45,,,,,,,,,,
0.46,,,,,,,,,,
0.47,,,,,,,,,,
0.48,,,,,,,,,,
0.49,,,,,,,,,,
0.5,,,,,,,,,,
0.51,,,,,,,,,,
0.52,,,,,,,,,,
0.53,,,,,,,,,,
0.54,,,,,,,,,,
0.55,,,,,,,,,,
0.56,,,,,,,,,,
0.57,,,,,,,,,,
0.58,,,,,,,,,,
0.59,,,,,,,,,,
0.6,,,,,,,,,,
0.61,,,,,,,,,,
0.62,,,,,,,,,,
0.63,,,,,,,,,,
0.64,,,,,,,,,,
0.65,,,,,,,,,,
0.66,,,,,,,,,,
0.67,,,,,,,,,,
0.68,,,,,,,,,,
0.69,,,,,,,,,,
0.7,,,,,,,,,,
0.71,,,,,,,,,,
0.72,,,,,,,,,,
0.73,,,,,,,,,,
0.74,,,,,,,,,,
0.75,,,,,,,,,,
0.76,,,,,,,,,,
0.77,,,,,,,,,,
0.78,,,,,,,,,,
0.79,,,,,,,,,,
0.8,,,,,,,,,,
0.81,,,,,,,,,,
0.82,,,,,,,,,,
0.83,,,,,,,,,,
0.84,,,,,,,,,,
0.85,,,,,,,,,,
0.86,,,,,,,,,,
0.87,,,,,,,,,,
0.88,,,,,,,,,,
0.89,,,,,,,,,,
0.9,,,,,,,,,,
0.4,,,,,,,,,,
0.41,,,,,,,,,,
0.42,,,,,,,,,,
0.43,,,,,,,,,,
0.44,,,,,,,,,,
0.45,,,,,,,,,,
0.46,,,,,,,,,,
0.47,,,,,,,,,,
0.48,,,,,,,,,,
0.49,,,,,,,,,,
0.5,,,,,,,,,,
0.51,,,,,,,,,,
0.52,,,,,,,,,,
0.53,,,,,,,,,,
0.54,,,,,,,,,,
0.55,,,,,,,,,,
0.56,,,,,,,,,,
0.57,,,,,,,,,,
0.58,,,,,,,,,,
0.59,,,,,,,,,,
0.6,,,,,,,,,,
0.61,,,,,,,,,,
0.62,,,,,,,,,,
0.63,,,,,,,,,,
0.64,,,,,,,,,,
0.65,,,,,,,,,,
0.66,,,,,,,,,,
0.67,,,,,,,,,,
0.68,,,,,,,,,,
0.69,,,,,,,,,,
0.7,,,,,,,,,,
0.71,,,,,,,,,,
0.72,,,,,,,,,,
0.73,,,,,,,,,,
0.74,,,,,,,,,,
0.75,,,,,,,,,,
0.76,,,,,,,,,,
0.77,,,,,,,,,,
0.78,,,,,,,,,,
0.79,,,,,,,,,,
0.8,,,,,,,,,,
0.81,,,,,,,,,,
0.82,,,,,,,,,,
0.83,,,,,,,,,,
0.84,,,,,,,,,,
0.85,,,,,,,,,,
0.86,,,,,,,,,,
0.87,,,,,,,,,,
0.88,,,,,,,,,,
0.89,,,,,,,,,,
0.9,,,,,,,,,,
0.4,,,,,,,,,,
0.41,,,,,,,,,,
0.42,,,,,,,,,,
0.43,,,,,,,,,,
0.44,,,,,,,,,,
0.45,,,,,,,,,,
0.46,,,,,,,,,,
0.47,,,,,,,,,,
0.48,,,,,,,,,,
0.49,,,,,,,,,,
0.5,,,,,,,,,,
0.51,,,,,,,,,,
0.52,,,,,,,,,,
0.53,,,,,,,,,,
0.54,,,,,,,,,,
0.55,,,,,,,,,,
0.56,,,,,,,,,,
0.57,,,,,,,,,,
0.58,,,,,,,,,,
0.59,,,,,,,,,,
0.6,,,,,,,,,,
0.61,,,,,,,,,,
0.62,,,,,,,,,,
0.63,,,,,,,,,,
0.64,,,,,,,,,,
0.65,,,,,,,,,,
0.66,,,,,,,,,,
0.67,,,,,,,,,,
0.68,,,,,,,,,,
0.69,,,,,,,,,,
0.7,,,,,,,,,,
0.71,,,,,,,,,,
0.72,,,,,,,,,,
0.73,,,,,,,,,,
0.74,,,,,,,,,,
0.75,,,,,,,,,,
0.76,,,,,,,,,,
0.77,,,,,,,,,,
0.78,,,,,,,,,,
0.79,,,,,,,,,,
0.8,,,,,,,,,,
0.81,,,,,,,,,,
0.82,,,,,,,,,,
0.83,,,,,,,,,,
0.84,,,,,,,,,,
0.85,,,,,,,,,,
0.86,,,,,,,,,,
0.87,,,,,,,,,,
0.88,,,,,,,,,,
0.89,,,,,,,,,,
0.9,,,,,,,,,,
0.4,,,,,,,,,,
0.41,,,,,,,,,,
0.42,,,,,,,,,,
0.43,,,,,,,,,,
0.44,,,,,,,,,,
0.45,,,,,,,,,,
0.46,,,,,,,,,,
0.47,,,,,,,,,,
0.48,,,,,,,,,,
0.49,,,,,,,,,,
0.5,,,,,,,,,,
0.51,,,,,,,,,,
0.52,,,,,,,,,,
0.53,,,,,,,,,,
0.54,,,,,,,,,,
0.55,,,,,,,,,,
0.56,,,,,,,,,,
0.57,,,,,,,,,,
0.58,,,,,,,,,,
0.59,,,,,,,,,,
0.6,,,,,,,,,,
0.61,,,,,,,,,,
0.62,,,,,,,,,,
0.63,,,,,,,,,,
0.64,,,,,,,,,,
0.65,,,,,,,,,,
0.66,,,,,,,,,,
0.67,,,,,,,,,,
0.68,,,,,,,,,,
0.69,,,,,,,,,,
0.7,,,,,,,,,,
0.71,,,,,,,,,,
0.72,,,,,,,,,,
0.73,,,,,,,,,,
0.74,,,,,,,,,,
0.75,,,,,,,,,,
0.76,,,,,,,,,,
0.77,,,,,,,,,,
0.78,,,,,,,,,,
0.79,,,,,,,,,,
0.8,,,,,,,,,,
0.81,,,,,,,,,,
0.82,,,,,,,,,,
0.83,,,,,,,,,,
0.84,,,,,,,,,,
0.85,,,,,,,,,,
0.86,,,,,,,,,,
0.87,,,,,,,,,,
0.88,,,,,,,,,,
0.89,,,,,,,,,,
0.9,,,,,,,,,,
0.4,,,,,,,,,,
0.41,,,,,,,,,,
0.42,,,,,,,,,,
0.43,,,,,,,,,,
0.44,,,,,,,,,,
0.45,,,,,,,,,,
0.46,,,,,,,,,,
0.47,,,,,,,,,,
0.48,,,,,,,,,,
0.49,,,,,,,,,,
0.5,,,,,,,,,,
0.51,,,,,,,,,,
0.52,,,,,,,,,,
0.53,,,,,,,,,,
0.54,,,,,,,,,,
0.55,,,,,,,,,,
0.56,,,,,,,,,,
0.57,,,,,,,,,,
0.58,,,,,,,,,,
0.59,,,,,,,,,,
0.6,,,,,,,,,,
0.61,,,,,,,,,,
0.62,,,,,,,,,,
0.63,,,,,,,,,,
0.64,,,,,,,,,,
0.65,,,,,,,,,,
0.66,,,,,,,,,,
0.67,,,,,,,,,,
0.68,,,,,,,,,,
0.69,,,,,,,,,,
0.7,,,,,,,,,,
0.71,,,,,,,,,,
0.72,,,,,,,,,,
0.73,,,,,,,,,,
0.74,,,,,,,,,,
0.75,,,,,,,,,,
0.76,,,,,,,,,,
0.77,,,,,,,,,,
0.78,,,,,,,,,,
0.79,,,,,,,,,,
0.8,,,,,,,,,,
0.81,,,,,,,,,,
0.82,,,,,,,,,,
0.83,,,,,,,,,,
0.84,,,,,,,,,,
0.85,,,,,,,,,,
0.86,,,,,,,,,,
0.87,,,,,,,,,,
0.88,,,,,,,,,,
0.89,,,,,,,,,,
0.9,,,,,,,,,,
0.4,,,,,,,,,,
0.41,,,,,,,,,,
0.42,,,,,,,,,,
0.43,,,,,,,,,,
0.44,,,,,,,,,,
0.45,,,,,,,,,,
0.46,,,,,,,,,,
0.47,,,,,,,,,,
0.48,,,,,,,,,,
0.49,,,,,,,,,,
0.5,,,,,,,,,,
0.51,,,,,,,,,,
0.52,,,,,,,,,,
0.53,,,,,,,,,,
0.54,,,,,,,,,,
0.55,,,,,,,,,,
0.56,,,,,,,,,,
0.57,,,,,,,,,,
0.58,,,,,,,,,,
0.59,,,,,,,,,,
0.6,,,,,,,,,,
0.61,,,,,,,,,,
0.62,,,,,,,,,,
0.63,,,,,,,,,,
0.64,,,,,,,,,,
0.65,,,,,,,,,,
0.66,,,,,,,,,,
0.67,,,,,,,,,,
0.68,,,,,,,,,,
0.69,,,,,,,,,,
0.7,,,,,,,,,,
0.71,,,,,,,,,,
0.72,,,,,,,,,,
0.73,,,,,,,,,,
0.74,,,,,,,,,,
0.75,,,,,,,,,,
0.76,,,,,,,,,,
0.77,,,,,,,,,,
0.78,,,,,,,,,,
0.79,,,,,,,,,,
0.8,,,,,,,,,,
0.81,,,,,,,,,,
0.82,,,,,,,,,,
0.83,,,,,,,,,,
0.84,,,,,,,,,,
0.85,,,,,,,,,,
0.86,,,,,,,,,,
0.87,,,,,,,,,,
0.88,,,,,,,,,,
0.89,,,,,,,,,,
0.9,,,,,,,,,,
